Call ID,Timestamp,Call Type,Call Duration (min),Call Reason,Resolution Status,CSAT Score,First Call Resolution,Agent ID,Agent Name,Agent Tenure (months),Skill Level,Languages,Team,Customer ID,Customer Location,Customer Type,Account Age (days),Contact Channel,Day of Week,Hour of Day,Queue Wait Time (min),Call Transfer Count,Sentiment Score,Escalation Level,Callback Requested,Dropped Call,Hold Time (min)
b61a1b3b-44dd-44c2-be26-04d644425688,2/1/2024 1:00:00 AM,Outbound,1,Refund,Resolved,8,True,ea0d31a4-c2be-44c7-b5ad-f91d4129b0d2,Andrew Dennis,51,Tier 2,Spanish,Billing Support,e80b3138-451b-4b5f-807d-0d2d0bf3466b,Ericland,Returning,550,App,Thursday,1,0,0,1,Tier 1,False,False,16
4c23ec03-9841-4101-883f-86e20563861b,1/11/2024 2:00:00 AM,Outbound,12,Refund,Resolved,8,True,06c24cf9-7cbd-4eed-9ec0-dfe0943772b9,Heather Jimenez,29,Tier 1,French,Billing Support,ab5a12ab-a58d-43da-82ff-0c24c4701679,Lindseychester,Returning,318,Phone,Thursday,2,0,0,-0.72,Tier 1,True,False,9
70fe5cf6-1891-47a6-983f-bb785e051ad7,1/8/2024 9:00:00 PM,Outbound,1,Overcharge,Resolved,6,True,35732cb3-d741-4825-9315-3d3a468d0172,John Allen,50,Tier 2,Mandarin,Billing Support,18dc835f-5899-43b4-ae40-7c7610fafff2,Victoriaborough,VIP,440,WhatsApp,Monday,21,0,0,-0.46,Tier 1,False,False,16
8bc91523-f3ea-45a0-b167-0916d9127afc,5/12/2024 1:00:00 PM,Outbound,1,Overcharge,Resolved,4,True,a852a591-1783-4d2a-ae36-ef2668d0bcce,Kristopher Pacheco,3,Tier 1,"Spanish, French",Billing Support,4ce6d885-f976-42a7-bfc9-5d903d79d6c3,Schmidtburgh,Returning,676,App,Sunday,13,0,0,0.05,Tier 1,False,False,6
8a55ba37-318e-416c-93df-f7c900152123,6/16/2024 10:00:00 PM,Outbound,19,Setup Help,Resolved,9,False,85fa4959-7a25-4add-b724-9a95aebc2922,Brian Luna,3,Tier 3,French,Technical Support,af8ca9ad-81d3-43d7-9112-f9b060c82e63,New Carrie,Returning,554,WhatsApp,Sunday,22,0,0,0.32,Tier 1,False,False,1
55261bb3-010d-414f-9f24-2acd1ea2af12,1/13/2024 4:00:00 AM,Outbound,4,New Order,Resolved,7,True,3be65f9b-4e2b-488a-b72b-35f1b4e97d57,Brandon Klein,26,Tier 2,"French, English",Sales,696facce-c6c1-4972-a210-97d73e95eb68,Port Cassandra,Returning,528,WhatsApp,Saturday,4,0,0,1,Tier 1,False,False,3
bb850280-8811-4b0b-a721-e0c3ec36d908,6/19/2024 7:00:00 PM,Outbound,20,Overcharge,Resolved,10,True,7b6686c8-9061-4361-b328-a8d1eb68b24d,George Dominguez,8,Tier 1,"English, Mandarin",Billing Support,f0112c65-cd90-4dd7-90fc-97b23e4df9a2,Port Beth,Returning,110,WhatsApp,Wednesday,19,0,0,0.5,Tier 1,False,False,13
edcbd5af-ef64-4385-87a3-dbf692343263,1/27/2024 2:00:00 AM,Outbound,22,New Order,Resolved,3,False,eaf82ef6-718b-4153-8664-3a1007d5e23c,Paula Moody,29,Tier 3,"Mandarin, Spanish",Sales,cee85e97-9bea-4ba6-a627-33d7de4c0c4c,East Jeremy,VIP,301,Phone,Saturday,2,0,0,-0.61,Tier 1,False,False,8
e2ddc83d-1aab-49ed-97a1-05cbad164e52,7/16/2024 3:00:00 AM,Inbound,8,New Order,Resolved,4,True,411fa11e-6a14-4c0c-83f2-1c3e7368f154,Troy Anderson,12,Tier 3,French,Sales,f4c09c7b-4086-474f-80ac-7383995bf6a2,Bradyview,New,946,Web,Tuesday,3,3,0,0.99,Tier 1,False,False,3
a9695b2e-a69c-4b40-b603-eec8156db506,9/13/2024 1:00:00 AM,Inbound,1,New Order,Escalated,9,True,b3155a8a-f621-4039-952c-522fa369dd9a,James Carson,39,Tier 1,English,Sales,cf5009ec-f515-4509-b1fa-14b65b128ad2,South Ericborough,VIP,452,Phone,Friday,1,1,1,0.94,Tier 2,False,False,1
